title,creator,date,location,latitude,longitude,format,subject,type,parentid,objectid,pages,filename
Letter 40 (continued),Mason Abercrombie Shufeldt,1883-2-7,,,,image/jpeg,,Image,,44,,044.jpg
Letter 40 (continued),Mason Abercrombie Shufeldt,1883-2-7,,,,image/jpeg,,Image,,45,,045.jpg
Letter 41,Mason Abercrombie Shufeldt,1883-2-8,,,,image/jpeg,,Image,,46,,046.jpg
Letter 41 (continued),Mason Abercrombie Shufeldt,1883-2-8,,,,image/jpeg,,Image,,47,,047.jpg
Letter 41 (continued),Mason Abercrombie Shufeldt,1883-2-8,,,,image/jpeg,,Image,,48,,048.jpg
Letter 41 (continued),Mason Abercrombie Shufeldt,1883-2-8,,,,image/jpeg,,Image,,49,,049.jpg
Letter 41 (continued),Mason Abercrombie Shufeldt,1883-2-8,,,,image/jpeg,,Image,,50,,050.jpg
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
The Sword of Kaigen,"Wang, M.L.",,,,,model/gltf+json,,,9.78E+12,9781720193869-1,,SwordOfKaigen_Wang_3DModel.gltf
The Sword of Kaigen,"Wang, M.L.",,,,,image/jpeg,,,9.78E+12,9781720193869-2,,SwordofKaigen_Wang_signature.jpg
